"Área Geográfica","","","","","","","","",""
"Toda la Base de Datos","","","","","","","","",""
"Crosstab","","","","","","","","",""
"  de Provincia","","","","","","","","",""
"  por P: Población con discapacidad: Ninguna","","","","","","","","",""
"","","","","","","","","",""
"","Provincia","P: Población con discapacidad: Ninguna","","","","","","",""
"","","Sí, tiene alguna discapacidad","No tiene discapacidad","Total","","","","",""
""," Provincia Constitucional del Callao","11.08%","88.92%","100.00%","","","","",""
""," Puno, provincia: Azángaro","13.71%","86.29%","100.00%","","","","",""
""," Puno, provincia: Carabaya","8.51%","91.49%","100.00%","","","","",""
""," Puno, provincia: Chucuito","12.42%","87.58%","100.00%","","","","",""
""," Puno, provincia: El Collao","16.16%","83.84%","100.00%","","","","",""
""," Puno, provincia: Huancané","16.93%","83.07%","100.00%","","","","",""
""," Puno, provincia: Lampa","13.72%","86.28%","100.00%","","","","",""
""," Puno, provincia: Melgar","14.72%","85.28%","100.00%","","","","",""
""," Puno, provincia: Moho","18.90%","81.10%","100.00%","","","","",""
""," Puno, provincia: Puno","13.93%","86.07%","100.00%","","","","",""
""," Puno, provincia: San Antonio de Putina","12.37%","87.63%","100.00%","","","","",""
""," Puno, provincia: San Román","11.00%","89.00%","100.00%","","","","",""
""," Puno, provincia: Sandia","14.56%","85.44%","100.00%","","","","",""
""," Puno, provincia: Yunguyo","15.97%","84.03%","100.00%","","","","",""
""," San Martín, provincia: Bellavista","7.54%","92.46%","100.00%","","","","",""
""," San Martín, provincia: El Dorado","6.06%","93.94%","100.00%","","","","",""
""," San Martín, provincia: Huallaga","9.55%","90.45%","100.00%","","","","",""
""," San Martín, provincia: Lamas","9.57%","90.43%","100.00%","","","","",""
""," San Martín, provincia: Mariscal Cáceres","8.98%","91.02%","100.00%","","","","",""
""," San Martín, provincia: Moyobamba","8.27%","91.73%","100.00%","","","","",""
""," San Martín, provincia: Picota","9.59%","90.41%","100.00%","","","","",""
""," San Martín, provincia: Rioja","8.02%","91.98%","100.00%","","","","",""
""," San Martín, provincia: San Martín","10.45%","89.55%","100.00%","","","","",""
""," San Martín, provincia: Tocache","9.89%","90.11%","100.00%","","","","",""
""," Tacna, provincia: Candarave","16.81%","83.19%","100.00%","","","","",""
""," Tacna, provincia: Jorge Basadre","9.20%","90.80%","100.00%","","","","",""
""," Tacna, provincia: Tacna","11.37%","88.63%","100.00%","","","","",""
""," Tacna, provincia: Tarata","18.89%","81.11%","100.00%","","","","",""
""," Tumbes, provincia: Contralmirante Villar","8.05%","91.95%","100.00%","","","","",""
""," Tumbes, provincia: Tumbes","10.15%","89.85%","100.00%","","","","",""
""," Tumbes, provincia: Zarumilla","8.36%","91.64%","100.00%","","","","",""
""," Ucayali, provincia: Atalaya","4.78%","95.22%","100.00%","","","","",""
""," Ucayali, provincia: Coronel Portillo","8.89%","91.11%","100.00%","","","","",""
""," Ucayali, provincia: Padre Abad","8.66%","91.34%","100.00%","","","","",""
""," Ucayali, provincia: Purús","6.12%","93.88%","100.00%","","","","",""
""," Total","10.39%","89.61%","100.00%","","","","",""
"","","","","","","","","",""
"Fuente: Censos Nacionales de Población y Vivienda 2017","","","","","","","","",""
"Instituto Nacional de Estadística e Informática (INEI) - PERÚ","","","","","","","","",""
"","","","","","","","","",""
